genes	data
AKT1	0.1233
APC	0.0377
ATM	-0.3994
ATR	0.6962
CBX3	0.6042
CCNA2	0.6446
CCNB1	1.1955
CCNC	0.1716
CCND1	0.7776
CCNE1	-0.6511
CCNH	1.2591
CDC14A	-0.7617
CDC20	1.111
CDC25C	0.9354
CDC37	0.8698
CDK2	0.9434
CDK4	-0.4511
CDK6	-0.8551
CDK7	0.7064
CDKN1A	-0.1243
CDKN1B	-0.4343
CDKN1C	-0.4224
CDKN2A	1.4221
CDKN2B	0.3117
CDKN2C	0.2334
CDKN2D	-0.6009
CDKN3	1.7197
CHEK1	0.9268
CREBBP	-1.9078
E2F1	-0.097
E2F2	-0.556
E2F3	-0.5752
E2F4	-0.6766
E2F5	-0.0268
E2F7	-0.9148
E2F8	0.3239
EED	-0.1962
EHMT1	0.3177
EHMT2	-0.6633
EP300	-1.6379
EPC1	-0.906
EZH2	0.161
FZR1	-0.5338
GSK3B	-1.0976
HDAC1	-0.5533
KAT2B	-0.5077
MAX	0.8144
MDM2	-0.8099
MGA	0.1661
MNAT1	1.146
NLRP2	-0.7488
PCGF2	0.5909
PCNA	-0.2596
PKMYT1	0.2057
PPA1	0.5389
RB1	0.1942
RBL1	0.3393
RBL2	-0.5965
RING1	0.0973
RYBP	-1.0233
SERTAD1	0.8321
SIN3B	-2.6444
TFDP1	-0.0407
TFDP2	-0.3797
TOPBP1	-0.26
TP53	0.5545
WEE1	-1.4157
