NAME	Tissue	Cancer Type	Cancer Subtype	Sample Gender
1321N1_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma	M
143B_BONE	BONE	osteosarcoma	NS	F
22RV1_PROSTATE	PROSTATE	carcinoma	NS	M
2313287_STOMACH	STOMACH	carcinoma	adenocarcinoma	M
42MGBA_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
5637_URINARY_TRACT	URINARY_TRACT	carcinoma	NS	M
59M_OVARY	OVARY	carcinoma	NS	F
639V_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	M
647V_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	M
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
769P_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	F
786O_KIDNEY	KIDNEY	carcinoma	clear_cell_renal_cell_carcinoma	M
8305C_THYROID	THYROID	carcinoma	anaplastic_carcinoma	F
8505C_THYROID	THYROID	carcinoma	anaplastic_carcinoma	F
8MGBA_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	F
A101D_SKIN	SKIN	malignant_melanoma	NS	M
A172_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
A204_SOFT_TISSUE	SOFT_TISSUE	rhabdoid_tumour	NS	F
A2058_SKIN	SKIN	malignant_melanoma	NS	M
A253_SALIVARY_GLAND	SALIVARY_GLAND	carcinoma	mucoepidermoid_carcinoma	M
A2780_OVARY	OVARY	carcinoma	adenocarcinoma	F
A375_SKIN	SKIN	malignant_melanoma	NS	F
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	F
A498_KIDNEY	KIDNEY	carcinoma	renal_cell_carcinoma	F
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	F
A549_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
A673_BONE	BONE	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	F
A704_KIDNEY	KIDNEY	carcinoma	renal_cell_carcinoma	M
ABC1_LUNG	LUNG	carcinoma	non_small_cell_carcinoma	M
ACCMESO1_PLEURA	PLEURA	mesothelioma	NS	
ACHN_KIDNEY	KIDNEY	carcinoma	renal_cell_carcinoma	M
AGS_STOMACH	STOMACH	carcinoma	adenocarcinoma	F
ALEXANDERCELLS_LIVER	LIVER	carcinoma	hepatocellular_carcinoma	M
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	M
AM38_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	haematopoietic_neoplasm	acute_myeloid_leukaemia	F
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	plasma_cell_myeloma	F
AN3CA_ENDOMETRIUM	ENDOMETRIUM	carcinoma	adenocarcinoma	F
ASPC1_PANCREAS	PANCREAS	carcinoma	ductal_carcinoma	F
AU565_BREAST	BREAST	carcinoma	NS	F
AZ521_STOMACH	STOMACH	carcinoma	NS	
BC3C_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	F
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	B_cell_lymphoma_unspecified	M
BCPAP_THYROID	THYROID	carcinoma	papillary_carcinoma	F
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	M
BECKER_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	glioma	astrocytoma_Grade_IV	M
BEN_LUNG	LUNG	carcinoma	NS	M
BFTC905_URINARY_TRACT	URINARY_TRACT	carcinoma	transitional_cell_carcinoma	F
BFTC909_KIDNEY	KIDNEY	carcinoma	NS	M
BHT101_THYROID	THYROID	carcinoma	anaplastic_carcinoma	F
BHY_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
BICR16_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
BICR18_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	carcinoma	squamous_cell_carcinoma	M
